scan_name,scan_value,receiver,method,G,S,N,R,Pbar,sigma2,mc_mean_T,mc_std_T,mc_p05_T,mc_p50_T,mc_p95_T,mc_mean_T_over_G,mc_mean_T_over_Gtx,mc_mean_G_tx,pi0,q_tx,avg_power,pi_full,beta,P,runtime_sec
R,0.15000000,group_lmmse,PSO_MC,200.00000000,8,8,0.15000000,1.00000000,1.00000000,200.03940000,14.46116040,177.00000000,200.00000000,223.00000000,1.00019700,0.99947823,200.16160000,0.00004313,0.99995687,1.00000000,"[4.312797526728751e-05, 0.1378995499615892, 0.11253518750745768, 0.12107348404246163, 0.15492504118815964, 0.1251104273169982, 0.1358328607158349, 0.08919945302344348, 0.12338086826878794]","[0.1379054975464766, 0.11254004113156818, 0.12107870592189603, 0.15493172307968073, 0.12511582330913143, 0.13583871916475537, 0.08920330018116746, 0.12338618966532415]","[0.047280838712916516, 0.07131985771115024, 0.12440348545289429, 0.2987399435242484, 0.5647674059660036, 1.2166530938591342, 1.8727678429523231, 4.22383240563658]",98.83799360
R,0.20000000,group_lmmse,single_power,200.00000000,8,8,0.20000000,1.00000000,1.00000000,39.94490000,6.48400094,30.00000000,40.00000000,51.00000000,0.19972450,0.99910000,40.00210000,0.80000000,0.20000000,1.00000000,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",0.00000000
R,0.20000000,group_lmmse,structured_uniform_exp,200.00000000,8,8,0.20000000,1.00000000,1.00000000,159.47320000,15.04719654,139.00000000,160.00000000,181.00000000,0.79736600,0.99608330,160.19790000,0.20000000,0.80000000,1.00000000,"[0.19999999999999996, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.039215686274509796, 0.07843137254901959, 0.15686274509803919, 0.31372549019607837, 0.6274509803921567, 1.2549019607843135, 2.509803921568627, 5.019607843137254]",0.00000000
R,0.20000000,group_lmmse,local_search,200.00000000,8,8,0.20000000,1.00000000,1.00000000,164.82600000,26.70715356,126.00000000,169.00000000,190.00000000,0.82413000,0.96260033,171.97580000,0.14079192,0.85920808,1.00000000,"[0.14079191789727796, 0.13133977425951895, 0.09805346214833147, 0.11472814679243508, 0.09489645799325716, 0.08241915046617158, 0.13334494004737626, 0.11547144073061694, 0.08895470966501463]","[0.15286142786051762, 0.11412074000557265, 0.1335277788724511, 0.11044642150131903, 0.09592455213464579, 0.15519516497219624, 0.1343928707560875, 0.10353104389721011]","[0.04186472178244296, 0.07025729217027336, 0.15663840713217175, 0.26350760118654437, 0.4251773704006959, 1.1428060241290032, 3.0021002543608764, 4.615255960000447]",0.00000000
R,0.20000000,group_lmmse,PSO_MC,200.00000000,8,8,0.20000000,1.00000000,1.00000000,166.95280000,24.13385208,138.95000000,170.00000000,191.00000000,0.83476400,0.97103432,172.47440000,0.13838551,0.86161449,1.00000000,"[0.13838550647815862, 0.10966890407245503, 0.14070452389708624, 0.10208382816439027, 0.09879658891384575, 0.08584013256105234, 0.11484232697398973, 0.1106154689946623, 0.09906271994435964]","[0.12728303074868716, 0.16330333920215037, 0.11847970169016489, 0.11466449282905584, 0.09962707592136896, 0.13328736672542818, 0.12838162522373853, 0.1149733676594061]","[0.033809728593055775, 0.08550678469422605, 0.18224247129755916, 0.33186176966944464, 0.562019975869282, 1.1909602595895314, 2.3838044064274584, 4.887488995026907]",101.16285800
R,0.25000000,group_lmmse,single_power,200.00000000,8,8,0.25000000,1.00000000,1.00000000,36.19780000,11.38722275,0.00000000,39.00000000,48.00000000,0.18098900,0.92790000,40.00210000,0.80000000,0.20000000,1.00000000,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",0.00000000
R,0.25000000,group_lmmse,structured_uniform_exp,200.00000000,8,8,0.25000000,1.00000000,1.00000000,119.71430000,11.90647101,101.00000000,120.00000000,138.00000000,0.59857150,0.99796657,120.00390000,0.40000000,0.60000000,1.00000000,"[0.4, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075, 0.075]","[0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125, 0.125]","[0.05228758169934641, 0.10457516339869281, 0.20915032679738563, 0.41830065359477125, 0.8366013071895425, 1.673202614379085, 3.34640522875817, 6.69281045751634]",0.00000000
R,0.25000000,group_lmmse,local_search,200.00000000,8,8,0.25000000,1.00000000,1.00000000,123.51930000,27.10428918,36.00000000,129.00000000,147.00000000,0.61759650,0.94519507,131.60690000,0.34253052,0.65746948,1.00000000,"[0.3425305246213689, 0.11274951105918961, 0.06725759325562757, 0.07985092682653565, 0.06551372795670449, 0.054951107271090295, 0.1232243285160841, 0.09922182866653534, 0.054700451826864074]","[0.17149010757382785, 0.10229766669683713, 0.1214519149813764, 0.09964527694456946, 0.08357970876053891, 0.1874221285256175, 0.15091473046622328, 0.08319846605100951]","[0.06223980640146981, 0.10803637076049269, 0.21370407038631548, 0.32544068158416634, 0.6446329244884846, 1.537009378565974, 3.94979311568248, 6.0439169549320075]",0.00000000
R,0.25000000,group_lmmse,PSO_MC,200.00000000,8,8,0.25000000,1.00000000,1.00000000,130.48300000,24.57268998,77.00000000,136.00000000,154.00000000,0.65241500,0.94701986,138.63660000,0.30729018,0.69270982,1.00000000,"[0.30729018217705883, 0.09567907861624544, 0.07816964544103619, 0.07988826758867108, 0.10491969328917453, 0.07749152830239672, 0.08270748859030941, 0.08686823800403086, 0.08698587799107692]","[0.13812288515983084, 0.11284616361683587, 0.11532717673865968, 0.15146269128813233, 0.11186722969502333, 0.11939702089143726, 0.12540350341365403, 0.12557332919642664]","[0.04642046192676698, 0.07988585458248966, 0.15029101794124947, 0.35815787535488725, 0.718153610531191, 1.3193979224757417, 2.8021943859306315, 6.110566387631277]",105.95320620
R,0.30000000,group_lmmse,single_power,200.00000000,8,8,0.30000000,1.00000000,1.00000000,21.71020000,17.81269618,0.00000000,32.00000000,41.00000000,0.10855100,0.60490000,40.00210000,0.80000000,0.20000000,1.00000000,"[0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0]","[0.625, 1.25, 1.875, 2.5, 3.125, 3.75, 4.375, 5.0]",0.00000000
