receiver,G,q_arrival,R,sigma2,Pbar,T_fixed,T_random,T_single,T_discrete,gain_abs,gain_pct,pi0,pi1,pi2,pi12,fixed_pi0,fixed_pi1,fixed_power,q_tx_random,q_tx_fixed,avg_power_random,avg_power_fixed,E1,E2,E12
SUD,0.6666666666666666,0.3333333333333333,0.8,1.0,2.0,0.3555555555555556,0.4,0.3555555555555556,0.4,0.0444444444444444,12.499999999999984,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.3333333333333333,0.3333333333333333,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,0.75,0.375,0.8,1.0,2.0,0.375,0.43125,0.375,0.43125,0.05625000000000002,15.000000000000005,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.375,0.375,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,0.8333333333333333,0.41666666666666663,0.8,1.0,2.0,0.3888888888888889,0.4583333333333333,0.3888888888888889,0.4583333333333333,0.06944444444444442,17.85714285714285,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.41666666666666663,0.41666666666666663,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,0.9166666666666666,0.4583333333333333,0.8,1.0,2.0,0.3972222222222223,0.48125,0.3972222222222223,0.48125,0.0840277777777777,21.15384615384613,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.4583333333333333,0.4583333333333333,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,1.0,0.5,0.8,1.0,2.0,0.4,0.5,0.4,0.5,0.09999999999999998,24.999999999999993,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.5,0.5,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,1.0833333333333333,0.5416666666666666,0.8,1.0,2.0,0.39722222222222225,0.5145833333333333,0.39722222222222225,0.5145833333333333,0.11736111111111103,29.545454545454525,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.5416666666666666,0.5416666666666666,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,1.1666666666666665,0.5833333333333333,0.8,1.0,2.0,0.38888888888888895,0.525,0.38888888888888895,0.525,0.13611111111111107,34.999999999999986,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.5833333333333333,0.5833333333333333,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,1.25,0.625,0.8,1.0,2.0,0.375,0.53125,0.375,0.53125,0.15625,41.666666666666664,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.625,0.625,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,1.3333333333333333,0.6666666666666666,0.8,1.0,2.0,0.3555555555555556,0.5333333333333334,0.3555555555555556,0.5333333333333334,0.1777777777777778,50.0,0.0,0.5,0.0,0.5,0.0,1.0,2.0,0.6666666666666666,0.6666666666666666,1.015716566510398,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
SUD,1.4166666666666665,0.7083333333333333,0.8,1.0,2.0,0.33055555555555566,0.5332522222222223,0.33055555555555566,0.5332522222222223,0.2026966666666667,61.319999999999986,0.06000000000000005,0.46,0.0,0.48,0.0,1.0,2.0,0.6658333333333333,0.7083333333333333,0.9602658813181372,2.0,0.7411011265922482,1.015716566510398,1.2903320064285477
